No.	EnrNo	Verify	InOut	DateTime
1	15	FP	( 1 )&( Open door )&( In )	2025/08/07 08:30:58
2	1	FACE	( 1 )&( Open door )&( In )	2025/08/07 08:40:07
3	23	FACE	( 1 )&( Open door )&( In )	2025/08/07 08:44:00
4	6	FP	( 1 )&( Open door )&( In )	2025/08/07 08:52:02
5	58	FP	( 1 )&( Open door )&( In )	2025/08/07 08:58:16
6	3	FP	( 1 )&( Open door )&( In )	2025/08/07 09:16:17
7	53	FP	( 1 )&( Open door )&( In )	2025/08/07 09:16:20
8	57	FP	( 1 )&( Open door )&( In )	2025/08/07 09:20:37
9	4	FP	( 1 )&( Open door )&( In )	2025/08/07 09:23:50
10	5	FP	( 1 )&( Open door )&( In )	2025/08/07 09:31:27
11	40	FACE	( 1 )&( Open door )&( In )	2025/08/07 09:31:33
12	34	FP	( 1 )&( Open door )&( In )	2025/08/07 09:32:48
13	47	FP	( 1 )&( Open door )&( In )	2025/08/07 09:33:30
14	11	FP	( 1 )&( Open door )&( In )	2025/08/07 09:33:33
15	13	FP	( 1 )&( Open door )&( In )	2025/08/07 09:34:15
16	30	FACE	( 1 )&( Open door )&( In )	2025/08/07 09:47:59
17	31	FACE	( 1 )&( Open door )&( In )	2025/08/07 09:48:03
18	29	FP	( 1 )&( Open door )&( In )	2025/08/07 09:52:14
19	45	FP	( 1 )&( Open door )&( In )	2025/08/07 09:55:50
20	16	FP	( 1 )&( Open door )&( In )	2025/08/07 09:58:18
21	26	FACE	( 1 )&( Open door )&( In )	2025/08/07 09:58:23
22	52	FP	( 1 )&( Open door )&( In )	2025/08/07 09:58:26
23	50	FP	( 1 )&( Open door )&( In )	2025/08/07 09:58:29
24	7	FP	( 1 )&( Open door )&( In )	2025/08/07 09:58:32
25	60	FP	( 1 )&( Open door )&( In )	2025/08/07 09:58:35
26	32	FP	( 1 )&( Open door )&( In )	2025/08/07 10:00:08
27	44	FACE	( 1 )&( Open door )&( In )	2025/08/07 10:00:11
28	28	FP	( 1 )&( Open door )&( In )	2025/08/07 10:03:31
29	27	FP	( 1 )&( Open door )&( In )	2025/08/07 10:03:39
30	12	FP	( 1 )&( Open door )&( In )	2025/08/07 10:16:29
31	25	FP	( 1 )&( Open door )&( In )	2025/08/07 10:16:58
32	43	FP	( 1 )&( Open door )&( In )	2025/08/07 10:24:05
33	33	FP	( 1 )&( Open door )&( In )	2025/08/07 10:26:43
34	46	FP	( 1 )&( Open door )&( In )	2025/08/07 10:30:15
35	36	FP	( 1 )&( Open door )&( In )	2025/08/07 10:44:09
36	49	FP	( 1 )&( Open door )&( In )	2025/08/07 10:47:22
37	35	FP	( 1 )&( Open door )&( In )	2025/08/07 11:07:47
38	42	FACE	( 1 )&( Open door )&( In )	2025/08/07 12:21:48
39	60	FP	( 1 )&( Open door )&( In )	2025/08/07 14:34:55
40	15	FP	( 1 )&( Open door )&( In )	2025/08/07 17:37:18
41	23	FACE	( 1 )&( Open door )&( In )	2025/08/07 17:46:33
42	1	FACE	( 1 )&( Open door )&( In )	2025/08/07 17:49:25
43	57	FP	( 1 )&( Open door )&( In )	2025/08/07 17:53:52
44	5	FP	( 1 )&( Open door )&( In )	2025/08/07 18:14:09
45	7	FP	( 1 )&( Open door )&( In )	2025/08/07 18:16:58
46	6	FP	( 1 )&( Open door )&( In )	2025/08/07 18:18:14
47	53	FP	( 1 )&( Open door )&( In )	2025/08/07 18:20:44
48	58	FP	( 1 )&( Open door )&( In )	2025/08/07 18:20:52
49	4	FP	( 1 )&( Open door )&( In )	2025/08/07 18:20:55
50	49	FP	( 1 )&( Open door )&( In )	2025/08/07 18:33:21
51	11	FP	( 1 )&( Open door )&( In )	2025/08/07 18:33:25
52	47	FP	( 1 )&( Open door )&( In )	2025/08/07 18:33:29
53	34	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:34:20
54	40	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:35:41
55	13	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:37:12
56	16	FP	( 1 )&( Open door )&( In )	2025/08/07 18:44:25
57	35	FP	( 1 )&( Open door )&( In )	2025/08/07 18:45:44
58	27	FP	( 1 )&( Open door )&( In )	2025/08/07 18:48:51
59	30	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:48:56
60	32	FP	( 1 )&( Open door )&( In )	2025/08/07 18:49:01
61	29	FP	( 1 )&( Open door )&( In )	2025/08/07 18:50:34
62	33	FP	( 1 )&( Open door )&( In )	2025/08/07 18:50:39
63	44	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:50:43
64	28	FP	( 1 )&( Open door )&( In )	2025/08/07 18:50:46
65	31	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:51:05
66	52	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:52:16
67	50	FP	( 1 )&( Open door )&( In )	2025/08/07 18:52:20
68	25	FP	( 1 )&( Open door )&( In )	2025/08/07 18:52:25
69	46	FP	( 1 )&( Open door )&( In )	2025/08/07 18:54:25
70	12	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:54:33
71	26	FACE	( 1 )&( Open door )&( In )	2025/08/07 18:58:43
72	45	FP	( 1 )&( Open door )&( In )	2025/08/07 18:58:47
73	36	FP	( 1 )&( Open door )&( In )	2025/08/07 19:46:48
74	28	FP	( 1 )&( Open door )&( In )	2025/08/07 19:46:52
75	28	FP	( 1 )&( Open door )&( In )	2025/08/07 20:08:42
76	41	FP	( 1 )&( Open door )&( In )	2025/08/07 20:22:34
77	26	FACE	( 1 )&( Open door )&( In )	2025/08/07 20:43:02
78	25	FACE	( 1 )&( Open door )&( In )	2025/08/07 20:43:07
79	43	FP	( 1 )&( Open door )&( In )	2025/08/07 20:43:25
80	4	FP	( 1 )&( Open door )&( In )	2025/08/08 08:34:11
